family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
prime_anchor_partitioning,8,2,3,4,4,3,4,4,5,5,2.0,0.5,0.35714285714285715,2.56155281280883,0.0,10.24621125123532,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,8,3,3,4,4,3,4,4,5,5,2.0,0.5,0.35714285714285715,2.5615528128088303,4.440892098500626e-16,10.24621125123532,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,10,0,3,6,6,3,6,6,7,7,1.6666666666666667,0.6,0.3111111111111111,3.3722813232690148,0.8107285104601849,11.86766827215569,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,10,1,6,3,3,6,6,6,7,7,1.6666666666666667,0.6,0.4222222222222222,4.999999999999999,3.0,14.0,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,10,2,3,6,6,3,6,6,7,7,1.6666666666666667,0.6,0.3111111111111111,3.3722813232690143,0.8107285104601845,11.867668272155688,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,10,3,5,4,4,5,5,5,6,6,2.0,0.5,0.4222222222222222,4.701562118716424,2.1400093059075935,14.52622986305051,prime_mean_gap,1.6666666666666667,0.04863267791677184
prime_anchor_partitioning,12,0,3,6,6,3,6,6,7,7,2.0,0.5,0.22727272727272727,3.0,0.4384471871911719,15.123105625617658,prime_mean_gap,2.25,0.6319660112501051
prime_anchor_partitioning,12,1,5,6,6,5,6,6,7,7,2.0,0.5,0.21212121212121213,4.0,2.000000000000001,12.0,prime_mean_gap,2.25,0.6319660112501051
prime_anchor_partitioning,12,2,6,5,5,6,6,6,7,7,2.0,0.5,0.6363636363636364,7.58083751926307,4.82269535249567,20.67795937206094,prime_mean_gap,2.25,0.6319660112501051
prime_anchor_partitioning,12,3,4,7,7,4,7,7,8,8,1.7142857142857142,0.5833333333333334,0.21212121212121213,3.645751311064593,1.0841984982557613,12.414608247746845,prime_mean_gap,2.25,0.6319660112501051
prime_anchor_partitioning,14,0,4,6,6,4,6,6,7,7,2.3333333333333335,0.42857142857142855,0.27472527472527475,4.159953687594557,1.1599536875945566,19.190051426047475,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,14,1,5,7,7,5,7,7,8,8,2.0,0.5,0.27472527472527475,5.2239953746010315,2.592780898414288,17.01217942491946,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,14,2,6,7,7,6,7,7,8,8,2.0,0.5,0.5054945054945055,7.670272430151623,4.526975852342574,22.578367848488867,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,14,3,4,7,7,4,7,7,8,8,2.0,0.5,0.27472527472527475,4.20356513505437,0.5578138239897772,19.220032546694895,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,16,0,4,8,8,4,8,8,9,9,2.0,0.5,0.2916666666666667,5.364777342243393,2.364777342243393,21.6179053847683,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,16,1,7,7,7,7,7,7,8,8,2.2857142857142856,0.4375,0.3333333333333333,7.119340292178966,4.215614783534546,21.859708624173628,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,16,2,6,9,9,6,9,9,10,10,1.7777777777777777,0.5625,0.4166666666666667,7.768858051834215,4.271834589495201,23.885411460117055,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,16,3,6,7,7,6,7,7,8,8,2.2857142857142856,0.4375,0.3333333333333333,6.4902859595277445,2.844534648463153,24.165218012763162,prime_mean_gap,2.2,0.5819660112501053
prime_anchor_partitioning,18,0,6,7,7,6,7,7,8,8,2.5714285714285716,0.3888888888888889,0.3137254901960784,6.358898943540673,1.5531705699301632,27.211731700183986,prime_mean_gap,2.5,0.8819660112501051
prime_anchor_partitioning,18,1,6,7,7,6,7,7,8,8,2.5714285714285716,0.3888888888888889,0.30718954248366015,6.280884051887531,2.1963837398127577,26.67930444835983,prime_mean_gap,2.5,0.8819660112501051
prime_anchor_partitioning,18,2,6,8,8,6,8,8,9,9,2.25,0.4444444444444444,0.43137254901960786,8.252603699998438,2.832983349261583,31.178841419917912,prime_mean_gap,2.5,0.8819660112501051
prime_anchor_partitioning,18,3,5,8,8,5,8,8,9,9,2.25,0.4444444444444444,0.30718954248366015,6.093027448140819,0.7442064322074842,26.66027559694811,prime_mean_gap,2.5,0.8819660112501051
prime_anchor_partitioning,20,0,6,9,9,6,9,9,10,10,2.2222222222222223,0.45,0.25263157894736843,6.358898943540675,1.5531705699301668,27.21173170018399,prime_mean_gap,2.4285714285714284,0.8105374398215335
