family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
fibonacci_block_growth,22,3,5,6,6,5,6,6,7,7,3.6666666666666665,0.2727272727272727,0.5108225108225108,10.801748701100575,7.422771534731183,49.41876631113696,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,24,0,5,6,6,5,6,6,7,7,4.0,0.25,0.5181159420289855,11.951315727449071,7.4088726784610754,55.134141546690785,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,24,1,6,6,6,6,6,6,7,7,4.0,0.25,0.5253623188405797,12.150013142757036,8.269005367942233,55.85886230236265,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,24,2,6,5,5,6,6,6,7,7,4.0,0.25,0.5217391304347826,12.045578374160815,7.246379270149597,57.53952835179402,fib_block_ratio,1.6153846153846154,0.0026493733652794837
fibonacci_block_growth,24,3,5,6,6,5,6,6,7,7,4.0,0.25,0.5181159420289855,11.977115174232793,8.233467305022652,55.59409194357085,fib_block_ratio,1.6153846153846154,0.0026493733652794837
lucas_like_growth,8,0,3,4,4,3,4,4,5,5,2.0,0.5,0.5,3.727895792082703,2.849569290375237,11.75453987115305,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,8,1,3,3,3,3,3,3,4,4,2.6666666666666665,0.375,0.4642857142857143,3.403174729804358,2.2621609009338637,12.43265174807302,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,8,2,4,3,3,4,4,4,5,5,2.0,0.5,0.5,3.781313430940669,2.7813134309406666,12.164190976413774,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,8,3,4,3,3,4,4,4,5,5,2.0,0.5,0.6071428571428571,4.417402220945137,2.94471697151816,13.304620041550036,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,10,0,4,4,4,4,4,4,5,5,2.5,0.4,0.5111111111111111,4.720759577145874,2.9485640329863676,17.132313107990058,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,10,1,4,3,3,4,4,4,5,5,2.5,0.4,0.4444444444444444,4.172931118184293,2.297461652433268,16.709391639015927,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,10,2,4,3,3,4,4,4,5,5,2.5,0.4,0.5111111111111111,4.736018860366615,3.0488444006331226,17.311302812123433,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,10,3,4,3,3,4,4,4,5,5,2.5,0.4,0.5777777777777777,5.323886128362875,3.6936086728868016,18.448784366542693,lucas_block_ratio,1.75,0.1319660112501051
lucas_like_growth,12,0,4,5,5,4,5,5,6,6,2.4,0.4166666666666667,0.5,5.696839450665722,3.438009994534398,22.250548396766533,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,12,1,5,3,3,5,5,5,6,6,2.4,0.4166666666666667,0.4696969696969697,5.477346750270582,3.2827468450825705,21.649195773054238,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,12,2,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.5151515151515151,5.969170694114015,4.043556146882474,20.537447775592238,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,12,3,4,3,3,4,4,4,5,5,3.0,0.3333333333333333,0.5757575757575758,6.4393471478633435,4.1780291281879,23.31255280938507,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,14,0,5,5,5,5,5,5,6,6,2.8,0.35714285714285715,0.4945054945054945,6.555354438300905,3.645300990723968,27.39319458636773,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,14,1,5,4,4,5,5,5,6,6,2.8,0.35714285714285715,0.4725274725274725,6.325648471610178,3.532284278352876,27.2372075037434,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,14,2,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.5274725274725275,7.077254817009122,4.6683295471946025,26.318345826363178,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,14,3,5,4,4,5,5,5,6,6,2.8,0.35714285714285715,0.5494505494505495,7.239053744602718,4.32064877951361,28.89735059894316,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,16,0,5,6,6,5,6,6,7,7,2.6666666666666665,0.375,0.48333333333333334,7.349759300560345,4.379184215547614,31.557238863619126,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,16,1,5,4,4,5,5,5,6,6,3.2,0.3125,0.5,7.679435936514225,4.534485125186592,33.266090176769005,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,16,2,5,4,4,5,5,5,6,6,3.2,0.3125,0.5166666666666667,7.980456532043572,4.865819160136866,32.22018534646296,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,16,3,5,5,5,5,5,5,6,6,3.2,0.3125,0.5333333333333333,8.111573777610532,5.160861747783102,33.74582367394474,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,18,0,6,6,6,6,6,6,7,7,3.0,0.3333333333333333,0.477124183006536,8.273080064996737,4.566960923813557,37.71742769696738,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,18,1,6,4,4,6,6,6,7,7,3.0,0.3333333333333333,0.5032679738562091,8.690133835663598,4.732691228199579,39.669538616921955,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,18,2,6,5,5,6,6,6,7,7,3.0,0.3333333333333333,0.5163398692810458,8.99123629939958,5.689683844784957,37.91047532661132,lucas_block_ratio,1.5714285714285714,0.046605417321323506
lucas_like_growth,18,3,5,5,5,5,5,5,6,6,3.6,0.2777777777777778,0.5294117647058824,9.082599403468638,5.591648483242124,40.42399620249361,lucas_block_ratio,1.5714285714285714,0.046605417321323506
