case,variant,timestep,full_radial,subspace_radial,radial_ratio,direction_metric,direction_old,direction_new,h3_sin_disp,phase_delta_cos,phase_delta_sin,match_flag,success_flag,n_samples,notes
B,eps0.0_D5,5,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=5;t=5
A,eps0.0_D20,0,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,nan,nan,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=0
B,eps0.0_D20,0,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,nan,nan,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=0
A,eps0.0_D20,1,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,0.8828125,0.052734375,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=1
B,eps0.0_D20,1,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,0.8828125,0.052734375,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=1
A,eps0.0_D20,2,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=2
B,eps0.0_D20,2,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=2
A,eps0.0_D20,3,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=3
B,eps0.0_D20,3,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=3
A,eps0.0_D20,4,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=4
B,eps0.0_D20,4,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=4
A,eps0.0_D20,5,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=5
B,eps0.0_D20,5,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=5
A,eps0.0_D20,6,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=6
B,eps0.0_D20,6,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=6
A,eps0.0_D20,7,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=7
B,eps0.0_D20,7,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=7
A,eps0.0_D20,8,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=8
B,eps0.0_D20,8,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=8
A,eps0.0_D20,9,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=9
B,eps0.0_D20,9,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=9
A,eps0.0_D20,10,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=10
B,eps0.0_D20,10,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=10
A,eps0.0_D20,11,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=11
B,eps0.0_D20,11,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=11
A,eps0.0_D20,12,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=12
B,eps0.0_D20,12,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=12
A,eps0.0_D20,13,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=13
B,eps0.0_D20,13,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=13
A,eps0.0_D20,14,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=14
B,eps0.0_D20,14,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=14
A,eps0.0_D20,15,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=15
B,eps0.0_D20,15,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=15
A,eps0.0_D20,16,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=16
B,eps0.0_D20,16,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=16
A,eps0.0_D20,17,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=17
B,eps0.0_D20,17,3.1622774600982666,1.0,0.3162277936935425,0.8828125,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,MIGRATED;cos_with_2i_proto;eps=0.0;D=20;t=17
A,eps0.0_D20,18,3.1622774600982666,1.0,0.3162277936935425,0.05273435637354851,0.05273435637354851,0.8828125,0.11718771606683731,1.0,0.0,0.8828125,0.8828125,1024,HYBRID;cos_with_raw_proto;eps=0.0;D=20;t=18
