checkpoint,position,attention_logit_mean,attention_weight_mean,attention_grad_norm,tau_state_norm,tau_state_variance,tau_x0_between_var,router_grad_norm,W_attn_grad_norm,v_attn_grad_norm,W_tok_inject_grad_norm,W1_grad_norm,W_pred_grad_norm,accuracy_normal,accuracy_uniform_attn,attn_logit_pos_var,attn_max_pos,loss,note
1000,12,0.001253,0.041675,8.8e-07,1.436333,0.031467,8.833e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,13,0.001447,0.041683,9.1e-07,1.435663,0.029729,0.00010503,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,14,0.001318,0.041678,8.7e-07,1.438555,0.031301,0.00010507,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,15,0.001224,0.041674,9.2e-07,1.437083,0.031171,0.00012638,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,16,0.001366,0.04168,8.6e-07,1.433402,0.029078,0.00014484,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,17,0.001042,0.041667,8.7e-07,1.438614,0.031185,7.897e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,18,0.001279,0.041676,9e-07,1.438615,0.031096,0.00011876,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,19,0.001339,0.041679,9.1e-07,1.433892,0.029017,0.00014526,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,20,0.001352,0.041679,8.5e-07,1.440189,0.031157,0.00011484,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,21,0.00127,0.041676,8.8e-07,1.434222,0.030454,0.00013969,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,22,0.001542,0.041687,8.9e-07,1.439599,0.029087,8.124e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
