tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,parent_class_b,parent_class_spin_code,parent_class_frequency,child_future_classes_produced,dominant_phi_tuple,dominant_phi_tuple_share,phi_tuple_support_size,boundary_any_fraction
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,15,131072,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,15,135168,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,16,8192,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,16,262144,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,16,270336,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,17,16384,3,4,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,17,524288,3,4,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,17,540672,4,5,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,18,1,2,2,(6),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,18,32768,2,2,(2),0.5,2,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,18,32769,5,3,(9),0.2,5,0.6
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,19,2,2,2,(6),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,19,65536,2,2,(2),0.5,2,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,19,65538,5,3,(9),0.2,5,0.6
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,20,4,2,2,(6),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,20,131072,2,2,(2),0.5,2,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,20,131076,5,3,(9),0.2,5,0.6
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,21,8,2,2,(6),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,21,262144,2,2,(2),0.5,2,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,21,262152,5,3,(9),0.2,5,0.6
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,22,16,2,2,(6),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,22,524288,2,2,(2),0.5,2,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,22,524304,5,3,(9),0.2,5,0.6
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,23,32,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,24,64,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,25,128,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,26,256,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,27,512,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,28,1024,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,29,2048,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,30,4096,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,31,8192,7,2,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,32,0,4,2,(4),0.25,4,0.25
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,32,16384,7,4,(9),0.14285714285714285,7,0.42857142857142855
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,33,1,2,2,(4),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,33,32768,2,2,(10),0.5,2,1.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,33,32769,5,3,(9),0.2,5,0.2
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,34,2,2,2,(4),0.5,2,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,34,65536,2,2,(10),0.5,2,1.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,34,65538,5,3,(9),0.2,5,0.2
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,0,8,7,2,(8),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,1,0,4,2,(9),0.25,4,0.5
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,1,16,7,4,(8),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,2,1,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,3,2,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,4,4,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,5,8,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,6,16,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,26,0,11,2,(9),0.09090909090909091,11,0.36363636363636365
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,27,1,7,2,(9),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,28,2,7,2,(9),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,29,4,7,2,(9),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,30,8,7,2,(9),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,31,0,4,2,(7),0.25,4,0.5
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,31,16,7,4,(9),0.14285714285714285,7,0.2857142857142857
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,32,1,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,33,2,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,34,4,7,2,(9),0.14285714285714285,7,0.42857142857142855
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,0,8,3,2,(7),0.3333333333333333,3,0.3333333333333333
