case,relation,D,timestep,cos_metric,sin_metric,full_radial,subspace_radial,radial_ratio,success_flag,match_flag,eps_high,n_samples,notes
A,matched,20,1,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=1
B,adj_plus1,20,1,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=1
B,opposite,20,1,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=1
B,adj_minus1,20,1,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=1
A,matched,20,2,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=2
B,adj_plus1,20,2,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=2
B,opposite,20,2,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=2
B,adj_minus1,20,2,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=2
A,matched,20,3,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=3
B,adj_plus1,20,3,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=3
B,opposite,20,3,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=3
B,adj_minus1,20,3,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=3
A,matched,20,4,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=4
B,adj_plus1,20,4,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=4
B,opposite,20,4,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=4
B,adj_minus1,20,4,0.05273435264825821,-0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=4
A,matched,20,5,0.8828125,0.05273435637354851,3.1622774600982666,1.0,0.3162277936935425,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=5
B,adj_plus1,20,5,-0.05273434892296791,0.8828125,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=5
B,opposite,20,5,-0.8828125,-0.052734363824129105,3.1622774600982666,1.0,0.3162277936935425,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=5
