model,task,metric_name,metric_value,operator,usage_fraction,context_bucket,transport_usage_fraction,route_entropy,note
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=8_dist=8,0.0,1.5808,step=8; distance_from_query=8
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=9_dist=7,0.0,1.5808,step=9; distance_from_query=7
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=10_dist=6,0.0,1.5808,step=10; distance_from_query=6
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=11_dist=5,0.0,1.5808,step=11; distance_from_query=5
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=12_dist=4,0.0,1.5808,step=12; distance_from_query=4
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=13_dist=3,0.0,1.5808,step=13; distance_from_query=3
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=14_dist=2,0.0,1.5808,step=14; distance_from_query=2
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=15_dist=1,0.0,1.5808,step=15; distance_from_query=1
non_transport,first_token_recall_D2,accuracy,0.236,T_b,0.317,D=2_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D2,accuracy,0.236,T_x,0.3405,D=2_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D2,accuracy,0.236,T_y,0.3425,D=2_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D2,accuracy,0.236,T_c,0.0,D=2_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D2,accuracy,0.236,T_z',0.0,D=2_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D2,accuracy,0.236,T_r*,0.0,D=2_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D2,transport_frac_at_step,0.0,aggregate_transport,0.0,step=0_dist=2,0.0,1.7914,step=0; distance_from_query=2
non_transport,first_token_recall_D2,transport_frac_at_step,0.0,aggregate_transport,0.0,step=1_dist=1,0.0,1.7914,step=1; distance_from_query=1
non_transport,first_token_recall_D4,accuracy,0.258,T_b,0.335,D=4_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D4,accuracy,0.258,T_x,0.33,D=4_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D4,accuracy,0.258,T_y,0.335,D=4_all_steps,0.0,1.7914,cluster=non_transport
non_transport,first_token_recall_D4,accuracy,0.258,T_c,0.0,D=4_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D4,accuracy,0.258,T_z',0.0,D=4_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D4,accuracy,0.258,T_r*,0.0,D=4_all_steps,0.0,1.7914,cluster=transport
non_transport,first_token_recall_D4,transport_frac_at_step,0.0,aggregate_transport,0.0,step=0_dist=4,0.0,1.7914,step=0; distance_from_query=4
