case,variant,timestep,full_radius_mean,full_radius_std,subspace,subspace_radius_mean,subspace_radius_std,ratio_mean,ratio_std,direction_metric_mean,direction_metric_std,match_condition,success_condition,notes
A_stripped_baseline,original_s42,19,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=19;n_samples=2048;full_cos_mean=0.337657;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,19,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=19;n_samples=2048;full_cos_mean=0.337657;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,19,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=19;n_samples=2048;full_cos_mean=0.337657;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,19,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=19;n_samples=2048;full_cos_mean=0.337657;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,20,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=20;n_samples=2048;full_cos_mean=0.330547;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,20,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=20;n_samples=2048;full_cos_mean=0.330547;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,20,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=20;n_samples=2048;full_cos_mean=0.330547;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,20,2.44948983,0.0,block3_ang,1.73205042,3.6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=20;n_samples=2048;full_cos_mean=0.330547;h3_cos_mean=1.000000
B_uniform_blend,original_s42,0,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=0;n_samples=2048;full_cos_mean=1.000000;h3_cos_mean=1.000000
B_uniform_blend,original_s42,0,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=0;n_samples=2048;full_cos_mean=1.000000;h3_cos_mean=1.000000
B_uniform_blend,original_s42,0,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=0;n_samples=2048;full_cos_mean=1.000000;h3_cos_mean=1.000000
B_uniform_blend,original_s42,0,2.44948983,0.0,block3_ang,1.73205018,6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=0;n_samples=2048;full_cos_mean=1.000000;h3_cos_mean=1.000000
B_uniform_blend,original_s42,1,1.27655149,0.1659352,full,1.27655149,0.1659352,1.0,0.0,-0.09401264,0.71758908,na,all,subspace=full;t=1;n_samples=2048;full_cos_mean=0.020781;h3_cos_mean=-0.094013
