operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_x,non-transport,lift,8,34,0.034000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,7,31,0.031000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,9,23,0.023000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,10,12,0.012000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,11,11,0.011000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,14,3,0.003000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,12,3,0.003000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,13,1,0.001000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,unresolved,310,0.310000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_y,non-transport,swap,1,1000,1.000000,0.1110,bottleneck_fraction=0.1110,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_y,non-transport,coupled,1,1000,1.000000,0.1110,bottleneck_fraction=0.1110,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,1,429,0.429000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
T_y,non-transport,twist,2,330,0.330000,0.2930,bottleneck_fraction=0.2930,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=23; dominant_sync_type=tau_unresolved
