model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=15; dist_from_query=1
random,first_token_recall_D2,2,accuracy,0.22,T_b,1.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D2,2,accuracy,0.22,T_x,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D2,2,accuracy,0.22,T_y,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D2,2,accuracy,0.22,T_c,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D2,2,accuracy,0.22,T_z',0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D2,2,accuracy,0.22,T_r*,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D2,2,mean_attn_weight,0.5,aggregate_attn,0.5,0.0,1.7918,step=0; dist_from_query=2
random,first_token_recall_D2,2,mean_attn_weight,0.5,aggregate_attn,0.5,0.0,1.7918,step=1; dist_from_query=1
random,first_token_recall_D4,4,accuracy,0.236,T_b,1.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D4,4,accuracy,0.236,T_x,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D4,4,accuracy,0.236,T_y,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D4,4,accuracy,0.236,T_c,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D4,4,accuracy,0.236,T_z',0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D4,4,accuracy,0.236,T_r*,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D4,4,mean_attn_weight,0.2501,aggregate_attn,0.2501,0.0,1.7918,step=0; dist_from_query=4
random,first_token_recall_D4,4,mean_attn_weight,0.25,aggregate_attn,0.25,0.0,1.7918,step=1; dist_from_query=3
random,first_token_recall_D4,4,mean_attn_weight,0.2499,aggregate_attn,0.2499,0.0,1.7918,step=2; dist_from_query=2
random,first_token_recall_D4,4,mean_attn_weight,0.2499,aggregate_attn,0.2499,0.0,1.7918,step=3; dist_from_query=1
random,first_token_recall_D8,8,accuracy,0.263,T_b,1.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D8,8,accuracy,0.263,T_x,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D8,8,accuracy,0.263,T_y,0.0,0.0,1.7918,cluster=non_transport
random,first_token_recall_D8,8,accuracy,0.263,T_c,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D8,8,accuracy,0.263,T_z',0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D8,8,accuracy,0.263,T_r*,0.0,0.0,1.7918,cluster=transport
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=0; dist_from_query=8
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=1; dist_from_query=7
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=2; dist_from_query=6
random,first_token_recall_D8,8,mean_attn_weight,0.1251,aggregate_attn,0.1251,0.0,1.7918,step=3; dist_from_query=5
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=4; dist_from_query=4
random,first_token_recall_D8,8,mean_attn_weight,0.1249,aggregate_attn,0.1249,0.0,1.7918,step=5; dist_from_query=3
random,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.7918,step=6; dist_from_query=2
