case,timestep,training_step,full_radius,subspace_radius,ratio,direction_metric,success_flag,match_flag
C_trained_matched,12,500,2.26389408,0.90098417,0.39530671,0.0481392,0.283203,1
C_trained_matched,13,500,2.28382206,0.90385395,0.3918601,0.00854959,0.234375,1
C_trained_matched,14,500,2.28091049,0.90637594,0.39399761,0.03633569,0.273438,1
C_trained_matched,15,500,2.28564787,0.91299391,0.39638984,0.03040634,0.275391,1
C_trained_matched,16,500,2.26474237,0.89667207,0.39286479,0.09450381,0.298828,1
C_trained_matched,17,500,2.27820396,0.90339339,0.39332369,-0.04615675,0.21875,1
C_trained_matched,18,500,2.29938412,0.91668826,0.39594188,0.00755559,0.240234,1
C_trained_matched,19,500,2.25335622,0.8933152,0.39328155,0.01801248,0.259766,1
C_trained_matched,20,500,2.26889753,0.89737636,0.39172342,0.03105602,0.277344,1
C_trained_mismatched,0,500,2.44948983,1.0,0.40824831,1.0,1.0,0
C_trained_mismatched,1,500,2.25522327,0.89381999,0.39270955,0.02513821,0.25,0
C_trained_mismatched,2,500,2.29705191,0.92251796,0.40008026,-0.05659952,0.203125,0
C_trained_mismatched,3,500,2.2590065,0.89595163,0.39328557,0.00306693,0.246094,0
C_trained_mismatched,4,500,2.24953699,0.89131212,0.39288804,0.03857099,0.273438,0
C_trained_mismatched,5,500,2.25268698,0.89786083,0.39628571,-0.03526443,0.21875,0
C_trained_mismatched,6,500,2.25505877,0.89206821,0.39174592,-0.01567777,0.226562,0
C_trained_mismatched,7,500,2.27523994,0.90527451,0.39544484,-0.02076692,0.236328,0
C_trained_mismatched,8,500,2.26291537,0.89506018,0.39192873,-0.06184175,0.222656,0
C_trained_mismatched,9,500,2.29280853,0.90615398,0.39130929,-0.01916375,0.236328,0
C_trained_mismatched,10,500,2.28427505,0.91751444,0.39952976,0.0223408,0.277344,0
C_trained_mismatched,11,500,2.28032899,0.90162587,0.39224735,0.00043872,0.244141,0
C_trained_mismatched,12,500,2.28141975,0.91110831,0.3970412,-0.02064257,0.238281,0
C_trained_mismatched,13,500,2.28620148,0.91798484,0.39928752,-0.10466646,0.195312,0
C_trained_mismatched,14,500,2.27002335,0.90289891,0.39424679,0.00636926,0.228516,0
C_trained_mismatched,15,500,2.28070641,0.91552377,0.40005079,-0.00022573,0.275391,0
C_trained_mismatched,16,500,2.26596165,0.9065116,0.39851943,0.00558442,0.251953,0
C_trained_mismatched,17,500,2.28334808,0.90681571,0.39369071,-0.02712472,0.244141,0
C_trained_mismatched,18,500,2.2753787,0.90527743,0.39491341,-0.0420353,0.216797,0
C_trained_mismatched,19,500,2.28681517,0.91911578,0.39943027,-0.04155648,0.232422,0
C_trained_mismatched,20,500,2.27747941,0.89546794,0.38905072,-0.00447693,0.251953,0
