tuplet_name,offsets,parent_W,child_W,visible_H_first,candidate,split_position_count,target_predictive_state_count,b_only_exact_purity_fraction,b_only_unresolved_position_fraction,candidate_exact_purity_fraction,candidate_unresolved_position_fraction,purity_gain_over_b_only,candidate_weighted_target_multiplicity,candidate_label_count,candidate_to_target_label_ratio
quad_alt_1836,"[0,2,18,36]",2310,30030,16,recent_suffix_5,271,63,0.4022140221402214,0.5977859778597786,0.41328413284132837,0.5867158671586716,0.011070110701106972,2.066420664206642,41.0,0.6507936507936508
quad_alt_1836,"[0,2,18,36]",2310,30030,16,local_transition_3,271,63,0.4022140221402214,0.5977859778597786,0.4354243542435424,0.5645756457564576,0.03321033210332103,1.970479704797048,37.0,0.5873015873015873
quad_alt_1836,"[0,2,18,36]",2310,30030,16,next_return_gap,271,63,0.4022140221402214,0.5977859778597786,0.6125461254612545,0.3874538745387454,0.21033210332103314,1.3874538745387455,51.0,0.8095238095238095
quad_alt_1836,"[0,2,18,36]",2310,30030,16,prev_next_gap_pair,271,63,0.4022140221402214,0.5977859778597786,0.6273062730627306,0.3726937269372694,0.22509225092250917,1.3726937269372694,109.0,1.7301587301587302
quad_alt_3854,"[0,2,38,54]",2310,30030,26,recent_suffix_3,320,148,0.17500000000000004,0.825,0.21562499999999996,0.784375,0.04062499999999991,4.31875,44.0,0.2972972972972973
quad_alt_3854,"[0,2,38,54]",2310,30030,26,recent_suffix_5,320,148,0.17500000000000004,0.825,0.21562499999999996,0.784375,0.04062499999999991,4.31875,50.0,0.33783783783783783
quad_alt_3854,"[0,2,38,54]",2310,30030,26,local_transition_3,320,148,0.17500000000000004,0.825,0.22187500000000004,0.778125,0.046875,4.18125,43.0,0.2905405405405405
quad_alt_3854,"[0,2,38,54]",2310,30030,26,next_return_gap,320,148,0.17500000000000004,0.825,0.359375,0.640625,0.18437499999999996,2.296875,81.0,0.5472972972972973
quad_alt_3854,"[0,2,38,54]",2310,30030,26,prev_next_gap_pair,320,148,0.17500000000000004,0.825,0.509375,0.490625,0.334375,1.665625,172.0,1.162162162162162
quad_alt_0406,"[0,2,4,6]",30030,510510,36,recent_suffix_3,4405,223,0.0,1.0,0.0,1.0,0.0,5.932122587968218,44.0,0.19730941704035873
quad_alt_0406,"[0,2,4,6]",30030,510510,36,recent_suffix_5,4405,223,0.0,1.0,0.0,1.0,0.0,5.862656072644722,50.0,0.2242152466367713
quad_alt_0406,"[0,2,4,6]",30030,510510,36,local_transition_3,4405,223,0.0,1.0,0.0,1.0,0.0,5.698297389330307,44.0,0.19730941704035873
quad_alt_0406,"[0,2,4,6]",30030,510510,36,next_return_gap,4405,223,0.0,1.0,0.1759364358683314,0.8240635641316686,0.1759364358683314,2.467650397275823,118.0,0.5291479820627802
quad_alt_0406,"[0,2,4,6]",30030,510510,36,prev_next_gap_pair,4405,223,0.0,1.0,0.2617480136208854,0.7382519863791146,0.2617480136208854,2.1711691259931896,537.0,2.408071748878924
double_twins_p17,"[0,2,34,36]",30030,510510,41,recent_suffix_3,4278,368,0.0,1.0,0.0,1.0,0.0,9.776297335203367,44.0,0.11956521739130435
double_twins_p17,"[0,2,34,36]",30030,510510,41,recent_suffix_5,4278,368,0.0,1.0,0.0,1.0,0.0,9.595371669004207,50.0,0.1358695652173913
double_twins_p17,"[0,2,34,36]",30030,510510,41,local_transition_3,4278,368,0.0,1.0,0.0,1.0,0.0,9.20406732117812,44.0,0.11956521739130435
double_twins_p17,"[0,2,34,36]",30030,510510,41,next_return_gap,4278,368,0.0,1.0,0.09654043945769053,0.9034595605423095,0.09654043945769053,4.096072931276297,143.0,0.38858695652173914
double_twins_p17,"[0,2,34,36]",30030,510510,41,prev_next_gap_pair,4278,368,0.0,1.0,0.21435250116877047,0.7856474988312295,0.21435250116877047,3.32328190743338,554.0,1.5054347826086956
quad_alt_0618,"[0,2,6,18]",30030,510510,46,recent_suffix_3,4677,538,0.0,1.0,0.0,1.0,0.0,14.41180243745991,44.0,0.08178438661710037
quad_alt_0618,"[0,2,6,18]",30030,510510,46,recent_suffix_5,4677,538,0.0,1.0,0.0,1.0,0.0,14.17489843917041,50.0,0.09293680297397769
