case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
E_phase_evolution,32,20,1,1,3.162277,1.000000,0.316228,0.305660,0.015094,step_cos,0.577358,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,20,1,1,3.162277,1.000000,0.316228,0.305660,0.015094,h1_cos,-0.041139,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,20,1,1,3.162277,1.000000,0.316228,0.305660,0.015094,h3_h1_ratio,7.429881,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,21,1,1,3.162277,1.000000,0.316228,0.369811,-0.003774,step_cos,0.558491,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,21,1,1,3.162277,1.000000,0.316228,0.369811,-0.003774,h1_cos,-0.026280,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,21,1,1,3.162277,1.000000,0.316228,0.369811,-0.003774,h3_h1_ratio,14.072168,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,22,1,1,3.162277,1.000000,0.316228,0.433962,-0.067925,step_cos,0.588679,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,22,1,1,3.162277,1.000000,0.316228,0.433962,-0.067925,h1_cos,-0.019879,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,22,1,1,3.162277,1.000000,0.316228,0.433962,-0.067925,h3_h1_ratio,21.830152,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,23,1,1,3.162277,1.000000,0.316228,0.411321,-0.090566,step_cos,0.607547,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,23,1,1,3.162277,1.000000,0.316228,0.411321,-0.090566,h1_cos,-0.086522,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,23,1,1,3.162277,1.000000,0.316228,0.411321,-0.090566,h3_h1_ratio,4.753970,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,24,1,1,3.162277,1.000000,0.316228,0.347170,0.018868,step_cos,0.626415,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,24,1,1,3.162277,1.000000,0.316228,0.347170,0.018868,h1_cos,-0.050907,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,24,1,1,3.162277,1.000000,0.316228,0.347170,0.018868,h3_h1_ratio,6.819677,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,25,1,1,3.162277,1.000000,0.316228,0.396226,-0.060377,step_cos,0.611321,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,25,1,1,3.162277,1.000000,0.316228,0.396226,-0.060377,h1_cos,-0.006301,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,25,1,1,3.162277,1.000000,0.316228,0.396226,-0.060377,h3_h1_ratio,62.879165,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,26,1,1,3.162277,1.000000,0.316228,0.369811,-0.049057,step_cos,0.611321,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,26,1,1,3.162277,1.000000,0.316228,0.369811,-0.049057,h1_cos,0.071292,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,26,1,1,3.162277,1.000000,0.316228,0.369811,-0.049057,h3_h1_ratio,5.187298,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,27,1,1,3.162277,1.000000,0.316228,0.396226,-0.098113,step_cos,0.566038,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,27,1,1,3.162277,1.000000,0.316228,0.396226,-0.098113,h1_cos,-0.023517,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,27,1,1,3.162277,1.000000,0.316228,0.396226,-0.098113,h3_h1_ratio,16.848395,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,28,1,1,3.162277,1.000000,0.316228,0.426415,-0.060377,step_cos,0.600000,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,28,1,1,3.162277,1.000000,0.316228,0.426415,-0.060377,h1_cos,0.039722,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,28,1,1,3.162277,1.000000,0.316228,0.426415,-0.060377,h3_h1_ratio,10.735035,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,29,1,1,3.162277,1.000000,0.316228,0.449057,0.007547,step_cos,0.607547,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,29,1,1,3.162277,1.000000,0.316228,0.449057,0.007547,h1_cos,0.046899,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,29,1,1,3.162277,1.000000,0.316228,0.449057,0.007547,h3_h1_ratio,9.574992,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,30,1,1,3.162277,1.000000,0.316228,0.483019,-0.003774,step_cos,0.641509,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,30,1,1,3.162277,1.000000,0.316228,0.483019,-0.003774,h1_cos,0.027525,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,30,1,1,3.162277,1.000000,0.316228,0.483019,-0.003774,h3_h1_ratio,17.548115,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,31,1,1,3.162277,1.000000,0.316228,0.671698,-0.086793,step_cos,0.637736,265,eps=0.0; D=32; success; phase_tracking
