tuplet_name,offsets,parent_W,child_W,new_prime,visible_H_first,pre_threshold_H,parent_class_b,parent_class_spin,parent_class_frequency,parent_class_mass_fraction,child_future_classes_produced,extra_child_classes_produced,visible_after_additional_horizon_step
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000100000000010000,19,0.00022330610565904683,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000000000000000000,4,4.701181171769407e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000000000000010000,36,0.0004231063054592466,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000000001000000000,12,0.0001410354351530822,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000000001000010000,60,0.0007051771757654111,11,10,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000100000000000000,5,5.876476464711759e-05,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000010000000000000000000100000000010000,30,0.00035258858788270555,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000000000000001,17,0.0001998001998001998,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000000000100000,24,0.0002820708703061644,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000000000100001,4,4.701181171769407e-05,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000010000000000,46,0.0005406358347534819,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000010000000001,16,0.0001880472468707763,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,2,00000000000000000000000000000000000000010000100000,24,0.0002820708703061644,3,2,1
