family,n,seed,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
balanced_binary_partitions,18,10,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,11,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,12,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,13,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,14,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,15,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,0,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,1,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,2,6,6,7,7,3.3333333333333335,0.3,0.6736842105263158,12.812284119500394,9.956511612864404,39.821859826999045,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,20,3,6,6,7,7,3.3333333333333335,0.3,0.3263157894736842,6.223861091336563,2.6645352591003757e-15,34.24734811382956,binary_partition_ratio,1.0,0.6180339887498949
