modulus,a,b,exact,"num_full_states_(b,u,v)","num_quot_states_(b,psi)",compression_ratio
143,13.0,116.0,True,5005,5005.0,1.0
143,13.0,118.0,True,5005,5005.0,1.0
143,13.0,119.0,True,5005,5005.0,1.0
143,13.0,120.0,True,5005,5005.0,1.0
143,13.0,121.0,True,5005,5005.0,1.0
143,13.0,122.0,True,5005,5005.0,1.0
143,13.0,123.0,True,5005,5005.0,1.0
143,13.0,124.0,True,5005,5005.0,1.0
143,13.0,125.0,True,5005,5005.0,1.0
143,13.0,126.0,True,5005,5005.0,1.0
143,13.0,127.0,True,5005,5005.0,1.0
143,13.0,128.0,True,5005,5005.0,1.0
143,13.0,129.0,True,5005,5005.0,1.0
143,13.0,131.0,True,5005,5005.0,1.0
143,13.0,132.0,True,5005,5005.0,1.0
143,13.0,133.0,True,5005,5005.0,1.0
143,13.0,134.0,True,5005,5005.0,1.0
143,13.0,135.0,True,5005,5005.0,1.0
143,13.0,136.0,True,5005,5005.0,1.0
143,13.0,137.0,True,5005,5005.0,1.0
143,13.0,138.0,True,5005,5005.0,1.0
143,13.0,139.0,True,5005,5005.0,1.0
143,13.0,140.0,True,5005,5005.0,1.0
143,13.0,141.0,True,5005,5005.0,1.0
143,13.0,142.0,True,5005,5005.0,1.0
143,14.0,11.0,True,5005,5005.0,1.0
143,14.0,22.0,True,5005,5005.0,1.0
143,14.0,33.0,True,5005,5005.0,1.0
143,14.0,44.0,True,5005,5005.0,1.0
143,14.0,55.0,True,5005,5005.0,1.0
143,14.0,66.0,True,5005,5005.0,1.0
143,14.0,77.0,True,5005,5005.0,1.0
143,14.0,88.0,True,5005,5005.0,1.0
143,14.0,99.0,True,5005,5005.0,1.0
143,14.0,110.0,True,5005,5005.0,1.0
143,14.0,121.0,True,5005,5005.0,1.0
143,14.0,132.0,True,5005,5005.0,1.0
143,15.0,11.0,True,5005,5005.0,1.0
143,15.0,22.0,True,5005,5005.0,1.0
143,15.0,33.0,True,5005,5005.0,1.0
143,15.0,44.0,True,5005,5005.0,1.0
143,15.0,55.0,True,5005,5005.0,1.0
143,15.0,66.0,True,5005,5005.0,1.0
143,15.0,77.0,True,5005,5005.0,1.0
143,15.0,88.0,True,5005,5005.0,1.0
143,15.0,99.0,True,5005,5005.0,1.0
143,15.0,110.0,True,5005,5005.0,1.0
143,15.0,121.0,True,5005,5005.0,1.0
143,15.0,132.0,True,5005,5005.0,1.0
143,16.0,11.0,True,5005,5005.0,1.0
143,16.0,22.0,True,5005,5005.0,1.0
143,16.0,33.0,True,5005,5005.0,1.0
