n,label,factorization,x17,x19,theta_base,theta17,theta19
6246241,other_composite,127 * 137 * 359,4,12,0.02857142857142857,0.23529411764705882,0.631578947368421
6276271,prime,6276271,5,12,0.02857142857142857,0.29411764705882354,0.631578947368421
6306301,semiprime_large,23 * 274187,6,12,0.02857142857142857,0.35294117647058826,0.631578947368421
6336331,semiprime_large,97 * 65323,7,12,0.02857142857142857,0.4117647058823529,0.631578947368421
6366361,prime,6366361,8,12,0.02857142857142857,0.47058823529411764,0.631578947368421
6396391,semiprime_large,1997 * 3203,9,12,0.02857142857142857,0.5294117647058824,0.631578947368421
6426421,prime,6426421,10,12,0.02857142857142857,0.5882352941176471,0.631578947368421
6456451,semiprime_large,181 * 35671,11,12,0.02857142857142857,0.6470588235294118,0.631578947368421
6486481,semiprime_large,109 * 59509,12,12,0.02857142857142857,0.7058823529411765,0.631578947368421
6516511,prime,6516511,13,12,0.02857142857142857,0.7647058823529411,0.631578947368421
6546541,prime,6546541,14,12,0.02857142857142857,0.8235294117647058,0.631578947368421
6576571,prime,6576571,15,12,0.02857142857142857,0.8823529411764706,0.631578947368421
6606601,semiprime_large,199 * 33199,16,12,0.02857142857142857,0.9411764705882353,0.631578947368421
6636631,semiprime_large,677 * 9803,0,13,0.02857142857142857,0.0,0.6842105263157895
6666661,semiprime_large,113 * 58997,1,13,0.02857142857142857,0.058823529411764705,0.6842105263157895
6696691,other_composite,17 * 43 * 9161,2,13,0.02857142857142857,0.11764705882352941,0.6842105263157895
6726721,semiprime_large,31 * 216991,3,13,0.02857142857142857,0.17647058823529413,0.6842105263157895
6756751,semiprime_large,2543 * 2657,4,13,0.02857142857142857,0.23529411764705882,0.6842105263157895
6786781,semiprime_large,19 * 357199,5,13,0.02857142857142857,0.29411764705882354,0.6842105263157895
6816811,semiprime_large,61 * 111751,6,13,0.02857142857142857,0.35294117647058826,0.6842105263157895
6846841,prime,6846841,7,13,0.02857142857142857,0.4117647058823529,0.6842105263157895
6876871,semiprime_large,79 * 87049,8,13,0.02857142857142857,0.47058823529411764,0.6842105263157895
6906901,other_composite,29 * 37 * 41 * 157,9,13,0.02857142857142857,0.5294117647058824,0.6842105263157895
6936931,semiprime_large,617 * 11243,10,13,0.02857142857142857,0.5882352941176471,0.6842105263157895
6966961,prime,6966961,11,13,0.02857142857142857,0.6470588235294118,0.6842105263157895
6996991,semiprime_large,23 * 304217,12,13,0.02857142857142857,0.7058823529411765,0.6842105263157895
7027021,prime,7027021,13,13,0.02857142857142857,0.7647058823529411,0.6842105263157895
7057051,prime,7057051,14,13,0.02857142857142857,0.8235294117647058,0.6842105263157895
7087081,prime,7087081,15,13,0.02857142857142857,0.8823529411764706,0.6842105263157895
7117111,other_composite,59 * 71 * 1699,16,13,0.02857142857142857,0.9411764705882353,0.6842105263157895
7147141,semiprime_large,1091 * 6551,0,14,0.02857142857142857,0.0,0.7368421052631579
7177171,semiprime_large,647 * 11093,1,14,0.02857142857142857,0.058823529411764705,0.7368421052631579
7207201,other_composite,17 * 353 * 1201,2,14,0.02857142857142857,0.11764705882352941,0.7368421052631579
7237231,semiprime_large,941 * 7691,3,14,0.02857142857142857,0.17647058823529413,0.7368421052631579
7267261,semiprime_large,1423 * 5107,4,14,0.02857142857142857,0.23529411764705882,0.7368421052631579
7297291,prime,7297291,5,14,0.02857142857142857,0.29411764705882354,0.7368421052631579
7327321,semiprime_large,67 * 109363,6,14,0.02857142857142857,0.35294117647058826,0.7368421052631579
7357351,other_composite,19 * 593 * 653,7,14,0.02857142857142857,0.4117647058823529,0.7368421052631579
7387381,semiprime_large,73 * 101197,8,14,0.02857142857142857,0.47058823529411764,0.7368421052631579
7417411,prime,7417411,9,14,0.02857142857142857,0.5294117647058824,0.7368421052631579
7447441,semiprime_large,2729 * 2729,10,14,0.02857142857142857,0.5882352941176471,0.7368421052631579
7477471,prime,7477471,11,14,0.02857142857142857,0.6470588235294118,0.7368421052631579
7507501,semiprime_large,739 * 10159,12,14,0.02857142857142857,0.7058823529411765,0.7368421052631579
7537531,semiprime_large,47 * 160373,13,14,0.02857142857142857,0.7647058823529411,0.7368421052631579
7567561,semiprime_large,149 * 50789,14,14,0.02857142857142857,0.8235294117647058,0.7368421052631579
7597591,semiprime_large,1307 * 5813,15,14,0.02857142857142857,0.8823529411764706,0.7368421052631579
7627621,semiprime_large,101 * 75521,16,14,0.02857142857142857,0.9411764705882353,0.7368421052631579
7657651,other_composite,31 * 337 * 733,0,15,0.02857142857142857,0.0,0.7894736842105263
7687681,semiprime_large,23 * 334247,1,15,0.02857142857142857,0.058823529411764705,0.7894736842105263
7717711,semiprime_large,17 * 453983,2,15,0.02857142857142857,0.11764705882352941,0.7894736842105263
7747741,semiprime_large,761 * 10181,3,15,0.02857142857142857,0.17647058823529413,0.7894736842105263
7777771,semiprime_large,29 * 268199,4,15,0.02857142857142857,0.23529411764705882,0.7894736842105263
7807801,other_composite,53 * 179 * 823,5,15,0.02857142857142857,0.29411764705882354,0.7894736842105263
7837831,prime,7837831,6,15,0.02857142857142857,0.35294117647058826,0.7894736842105263
7867861,semiprime_large,103 * 76387,7,15,0.02857142857142857,0.4117647058823529,0.7894736842105263
7897891,semiprime_large,2053 * 3847,8,15,0.02857142857142857,0.47058823529411764,0.7894736842105263
7927921,other_composite,19 * 19 * 21961,9,15,0.02857142857142857,0.5294117647058824,0.7894736842105263
7957951,prime,7957951,10,15,0.02857142857142857,0.5882352941176471,0.7894736842105263
7987981,semiprime_large,43 * 185767,11,15,0.02857142857142857,0.6470588235294118,0.7894736842105263
8018011,semiprime_large,37 * 216703,12,15,0.02857142857142857,0.7058823529411765,0.7894736842105263
8048041,semiprime_large,197 * 40853,13,15,0.02857142857142857,0.7647058823529411,0.7894736842105263
8078071,prime,8078071,14,15,0.02857142857142857,0.8235294117647058,0.7894736842105263
8108101,semiprime_large,859 * 9439,15,15,0.02857142857142857,0.8823529411764706,0.7894736842105263
8138131,semiprime_large,41 * 198491,16,15,0.02857142857142857,0.9411764705882353,0.7894736842105263
8168161,prime,8168161,0,16,0.02857142857142857,0.0,0.8421052631578947
8198191,prime,8198191,1,16,0.02857142857142857,0.058823529411764705,0.8421052631578947
