H,spin_class,class_frequency,mean_phase_index,mean_signature_value,eigvec2_value_z,corr_eigvec2_vs_mean_phase,corr_eigvec2_vs_mean_sig
21,31,24,2494.5,67584.0,0.10669078536814178,-0.006632249145950343,-0.13401781522487935
21,32,115,2501.782608695652,131072.0,0.7610109184208078,-0.006632249145950343,-0.13401781522487935
21,33,50,2490.5,131076.0,0.331231724347556,-0.006632249145950343,-0.13401781522487935
21,34,24,2495.5,135168.0,0.12868308628410666,-0.006632249145950343,-0.13401781522487935
21,35,115,2502.782608695652,262144.0,-2.063307801556176,-0.006632249145950343,-0.13401781522487935
21,36,50,2491.5,262152.0,-0.8996826208701723,-0.006632249145950343,-0.13401781522487935
21,37,24,2496.5,270336.0,-0.3354422027943488,-0.006632249145950343,-0.13401781522487935
21,38,115,2503.782608695652,524288.0,2.6671264103276324,-0.006632249145950343,-0.13401781522487935
21,39,50,2492.5,524304.0,1.1636278187831848,-0.006632249145950343,-0.13401781522487935
21,40,24,2497.5,540672.0,0.42816511656267003,-0.006632249145950343,-0.13401781522487935
21,41,93,2508.043010752688,1048576.0,-1.8303832336186063,-0.006632249145950343,-0.13401781522487935
21,42,22,2491.0,1048577.0,-0.4329938832216059,-0.006632249145950343,-0.13401781522487935
21,43,46,2507.304347826087,1048608.0,-0.90899247865372,-0.006632249145950343,-0.13401781522487935
21,44,4,2334.75,1048609.0,-0.07904282423075815,-0.006632249145950343,-0.13401781522487935
21,45,20,2468.75,1081344.0,-0.2989421616225015,-0.006632249145950343,-0.13401781522487935
21,46,4,2647.25,1081345.0,-0.05978843232450002,-0.006632249145950343,-0.13401781522487935
