j,b_mod_35,f_mod_143,admissible_bit,z1_real,z1_imag,z2_real,z2_imag,radius_C2,local_transport_error
4371,31,124,1,0.16931726619673107,-0.01711309424604655,0.5429604045695645,0.42315782305478417,0.7091048855915589,0.5064230796295899
4372,32,124,0,-0.3034665644488792,0.016555828431672612,0.38170718527350095,0.3225262454327134,0.5848842667364258,0.5365191702548161
4373,33,124,0,-0.6175273785824611,0.00649511554903361,0.013597867103211326,0.06536913152935114,0.6211604262761591,0.5810559889590818
4374,34,124,0,-0.751507562934135,0.025749227810775675,-0.45387318684041444,-0.23050096028357442,0.9080518720339593,0.5574142423772623
4375,0,125,0,-0.8206256186239987,0.04175120690424965,-0.8516929269641347,-0.49528842265839607,1.2829111554118466,0.4394088103839735
4376,1,125,1,-0.8428764916289703,0.2883454676737806,-1.1645826278835612,-0.5158711484758354,1.5543357513313305,0.2901166846134752
4377,2,125,0,-0.9327933519272159,0.5273115816767688,-1.2562803878108681,-0.2877907128659726,1.6760742372520965,0.28639795896002695
4378,3,125,0,-1.08049716461879,0.6612757086641736,-1.1480359927540513,0.11618448138822772,1.7135475365430575,0.2974177582712093
4379,4,125,0,-1.1968413151527806,0.632441773797942,-0.9183649418479678,0.5499205311435549,1.7257515718926508,0.2131027402601091
4380,5,125,0,-1.1648918160119899,0.46078859783435006,-0.6529862825942908,0.8533439515117345,1.6504199646586415,0.2223003477380893
4381,6,125,0,-0.9121348937216838,0.2440284244165325,-0.4003400752258914,0.9159078058086851,1.3750269891318625,0.4313456419006033
4382,7,125,0,-0.46365920770434366,0.11638898607406607,-0.1566090104512015,0.7165416836020797,0.8754910756039586,0.618332554551448
4383,8,125,0,0.05443621758036956,0.18447189928005325,0.11295695320698024,0.32419469835774944,0.39351576732009547,0.7119414573154328
4384,9,125,0,0.46673620742368804,0.47118569870967447,0.43017756544568675,-0.1384292919821524,0.8025422460408114,0.714458711038013
4385,10,125,0,0.6316307120210772,0.8963515907729512,0.7644488110452555,-0.5489333824144187,1.4450305788068611,0.6315400090709251
4386,11,125,0,0.5144670745070179,1.3057720340323995,1.0231952601368703,-0.8313965822491982,1.9255819361832216,0.4439627551742069
4387,12,125,0,0.21229283417485767,1.53727498083828,1.0824292828736355,-0.9747616108738101,2.128402209313119,0.20113271869551844
4388,13,125,0,-0.08551781576863789,1.4938200360347575,0.8458031452093695,-1.0184676425133823,1.9978665861777536,0.3855346960750084
4389,14,125,0,-0.1848565347485147,1.189336244482242,0.3036239777631603,-1.0167013830215903,1.6045441293367693,0.7292424123175762
4390,15,125,0,0.018061845602959273,0.7450114469495612,-0.4397019942808425,-1.0023046336601014,1.3241301706341124,0.91220053384195
4391,16,125,0,0.48043109348787166,0.33673115070808873,-1.1881882594351916,-0.9698276937491742,1.6421202753969082,0.8343804742692915
4392,17,125,0,1.024496920986104,0.11735307968311658,-1.7217454087012665,-0.8856792060047617,2.1936728549978084,0.5207100905559069
4393,18,125,0,1.4143136017422302,0.14947451052032723,-1.8812214258947495,-0.7180419468543969,2.465198548607454,0.2648763777068162
4394,19,125,0,1.46337134246227,0.3795189501058025,-1.6333691269831272,-0.4682363516436914,2.2743417301301614,0.5497057728621539
4395,20,125,0,1.1231811604320439,0.6646161183417613,-1.0855127978367733,-0.18424222499186968,1.7074934072044077,0.776056503815474
4396,21,125,0,0.5108496286837569,0.8391226594439345,-0.4417510262532882,0.05335968590384075,1.078464374003232,0.7497695055266267
4397,22,125,0,-0.13827415208157992,0.7894688234010778,0.08093011630877926,0.16765315189527497,0.822823205386391,0.5321060638963585
4398,23,125,0,-0.5718917130372275,0.5028716425712754,0.3397913987778632,0.12572055954677872,0.8433290426157273,0.4038856850276406
4399,24,125,0,-0.6298563811524641,0.06859157330113871,0.3183328520472749,-0.03869433261198846,0.7101104990600006,0.5461815539388187
4400,25,125,0,-0.3115236909889333,-0.3667387976191017,0.12098110589551797,-0.23415663480962018,0.5486438857178135,0.6382977480435686
4401,26,125,0,0.22838803239197106,-0.6667476943353874,-0.08529741141448104,-0.3505487148534153,0.7917535166456942,0.558528790038118
4402,27,125,0,0.7517029831437577,-0.7631678414237744,-0.15409899564216786,-0.3108921464946225,1.126003088921432,0.42038756180410486
4403,28,125,0,1.0416676236031972,-0.6773988731095744,-0.028482018376427637,-0.11104708375631044,1.2478314595869227,0.4392988715834562
4404,29,125,0,0.9920284717373177,-0.498097413509555,0.23548654836675306,0.17319241195253243,1.1478985356302227,0.5343780579978641
4405,30,125,0,0.6408936552629799,-0.32889984987089205,0.4995886787406171,0.4171916191201427,0.9708539970517298,0.5420024049098917
4406,31,125,1,0.13760180397417196,-0.23437172862646635,0.6120887340808948,0.5039869197125678,0.8381645406878169,0.5022057545935029
4407,32,125,0,-0.3370397788974387,-0.21174929693665018,0.48049899742844004,0.38053911283928343,0.7308371092402499,0.5391866600059884
4408,33,125,0,-0.6557845018070099,-0.20163461064812827,0.11431253383636904,0.08706720592880443,0.7009692452325068,0.6096172528015035
4409,34,125,0,-0.7938555428753815,-0.13009651357436447,-0.38076228078642693,-0.25544131173918827,0.925938391044939,0.5760924571314808
4410,0,126,0,-0.8500843504623341,-0.03578722523682927,-0.8058051752082807,-0.5482089386839579,1.2937461687814034,0.5051099155891688
4411,1,126,0,-0.8678025400268998,0.28453503437415245,-1.164529101782691,-0.5958350280754772,1.5953647996129114,0.33637723179010176
4412,2,126,0,-0.9436023005066829,0.5818382253108841,-1.297659696114324,-0.36709618635857916,1.745738044184452,0.2872205558270821
4413,3,126,0,-1.0694664663738944,0.7469160377829839,-1.2181211210960587,0.070517593345484,1.7861785708117914,0.2990299013615396
4414,4,126,0,-1.1606767852651467,0.7203874692336558,-1.0025632311457702,0.5635843786586358,1.7857460877727815,0.23980419408823228
4415,5,126,0,-1.1054785655413095,0.5307020338165072,-0.7399936904780196,0.9336079326329212,1.7096613528388143,0.2409199076917628
4416,6,126,0,-0.8354124296753812,0.28978935915296444,-0.4837443527059294,1.0474175130577785,1.4536106238499464,0.4299322374189869
4417,7,126,0,-0.37736537387973373,0.14539813840744345,-0.23290342924214358,0.8666155991298886,0.9842824025978252,0.6246037552561101
4418,8,126,0,0.14303174225132434,0.21126494603752827,0.047927959726790904,0.45578005480126454,0.5245221676858907,0.7361006813101746
4419,9,126,0,0.5521801964463202,0.5085733344843468,0.3835007682438954,-0.05173001695816182,0.8445700917000163,0.7497286350818045
4420,10,126,0,0.7104012368009449,0.9482252741014923,0.7451534610462524,-0.5125785847019041,1.490567534094775,0.6623105948268329
